Model,Metric,Mean,Std,CI_Lower,CI_Upper
GRU-D + Static Embeds,AUC,0.8483074857113502,0.00931678109632056,0.8290743468060047,0.8661939807883766
GRU-D + Static Embeds,F1,0.8301286535732227,0.008597182878197536,0.8132333828137885,0.846291799308095
GRU-D + ID + Static,AUC,0.7353681230184838,0.012356233478694027,0.711536808007248,0.7578202432060464
GRU-D + ID + Static,F1,0.7709073450445305,0.009710637159614555,0.7515203367020571,0.7891721976524094
BiLSTM + Attention,AUC,0.8297317182781674,0.011552660356243782,0.8067469647000112,0.8522559247611015
BiLSTM + Attention,F1,0.8956763344085984,0.006066619323158471,0.8838216027695198,0.9073942632130858
LSTM + Static Embeds,AUC,0.9167874070944415,0.008790485413196918,0.8987020714095637,0.9334149101046262
LSTM + Static Embeds,F1,0.9358939733401399,0.004873965870716633,0.9258316099903676,0.9449616802526911
LSTM + Attention,AUC,0.8032050977150843,0.013159793026679625,0.7758615006782976,0.8276275939556519
LSTM + Attention,F1,0.8409671874162352,0.008082640195850338,0.8251998813120414,0.8561585462773368
BiLSTM + Static Embeds,AUC,0.9297168217759392,0.00801627610714834,0.9129198607339739,0.944448945970023
BiLSTM + Static Embeds,F1,0.9384595267061248,0.0048668219842660934,0.9285407561083621,0.9478681277778187
BiLSTM + ID + Static (BEST),AUC,0.9269193305438209,0.007917995330658342,0.9107374800799207,0.9414854105000061
BiLSTM + ID + Static (BEST),F1,0.9365172607753929,0.004821066419289335,0.926829268292683,0.9456651690621563
GRU + Static Embeds,AUC,0.7723678957800965,0.014548275895861797,0.742412098051386,0.7998072165524236
GRU + Static Embeds,F1,0.8329276833941092,0.00825930172420259,0.8158683552031701,0.8484893444834097
GRU + Attention,AUC,0.9312858278264042,0.007676468314371846,0.9149483154749608,0.9455740275471326
GRU + Attention,F1,0.9394707266362987,0.004874974751762805,0.9300275856442713,0.948889309127198
GRU + ID + Static,AUC,0.7752878145887149,0.009778867264226077,0.7562350850989008,0.7941568386515473
GRU + ID + Static,F1,0.8218067009162358,0.0062578437473560155,0.8096039691859457,0.8334835979980828
GRU-D Basic,AUC,0.8747567455655749,0.010657673419116095,0.8531183907473305,0.8950976364796014
GRU-D Basic,F1,0.9154513816229137,0.005619319599195328,0.904065472855087,0.925600251188634
