Model,AUC (95% CI),F1 (95% CI),Sensitivity,Specificity,PPV,NPV
GRU + Attention,0.9313 [0.9149-0.9456],0.9395 [0.9300-0.9489],0.9627,0.6787,0.9172,0.8309
BiLSTM + Static Embeds,0.9297 [0.9129-0.9444],0.9385 [0.9285-0.9479],0.9659,0.6577,0.9126,0.8391
BiLSTM + ID + Static (BEST),0.9269 [0.9107-0.9415],0.9365 [0.9268-0.9457],0.9756,0.6006,0.9004,0.8696
LSTM + Static Embeds,0.9168 [0.8987-0.9334],0.9359 [0.9258-0.9450],0.9716,0.6126,0.9027,0.8536
GRU-D Basic,0.8748 [0.8531-0.8951],0.9155 [0.9041-0.9256],0.9537,0.5195,0.8801,0.7522
GRU-D + Static Embeds,0.8483 [0.8291-0.8662],0.8301 [0.8132-0.8463],0.8860,0.6326,0.7809,0.7896
BiLSTM + Attention,0.8297 [0.8067-0.8523],0.8957 [0.8838-0.9074],0.9692,0.2793,0.8326,0.7099
LSTM + Attention,0.8032 [0.7759-0.8276],0.8410 [0.8252-0.8562],0.7898,0.6727,0.8993,0.4638
GRU + ID + Static,0.7753 [0.7562-0.7942],0.8218 [0.8096-0.8335],0.7919,0.6063,0.8540,0.5005
GRU + Static Embeds,0.7724 [0.7424-0.7998],0.8329 [0.8159-0.8485],0.7873,0.6186,0.8842,0.4402
GRU-D + ID + Static,0.7354 [0.7115-0.7578],0.7709 [0.7515-0.7892],0.8207,0.5461,0.7277,0.6732
